Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
1/22/2020,Kuwait,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,Kyrgyzstan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Laos,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Western Pacific
1/22/2020,Latvia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Lebanon,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,Lesotho,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Liberia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Libya,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,Liechtenstein,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Lithuania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Luxembourg,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Madagascar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Malawi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Malaysia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Western Pacific
1/22/2020,Maldives,NaN,NaN,NaN,NaN,NaN,NaN,NaN,South-East Asia
1/22/2020,Mali,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Malta,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Mauritania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Mauritius,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Mexico,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,Moldova,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Monaco,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Mongolia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Western Pacific
1/22/2020,Montenegro,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Morocco,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,Mozambique,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Namibia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Nepal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,South-East Asia
1/22/2020,Netherlands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,New Zealand,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Western Pacific
1/22/2020,Nicaragua,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,Niger,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Nigeria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,North Macedonia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Norway,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Oman,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,Pakistan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,Panama,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
